question_id,anchor,candidate_b,candidate_c,answer,answered_at,selection_source
DJB-Q024,DJ Angelo - Babel.mp3,"Noir, Olivier Giacomotto feat. Hendrik Burkhard - Blackrays (Kiko & Citizen Kain Remix).mp3",Dosem - All Locations.mp3,B,2026-05-28T00:00:00Z,v4_boundary
DJB-Q025,"Alexander Alar, Sonita - Tokyo.mp3","Sandy Rivera, Rae - Hide U (Chicola Extended Remix).wav",Oliver Koletzki - Lenny In The Sea With Dolphins.mp3,skip,2026-05-28T00:00:00Z,v4_boundary
DJB-Q026,Doctor Dru - Wahah.mp3,Alex Breitling - Bring It Back.mp3,Oliver Koletzki - Lenny In The Sea With Dolphins.mp3,C,2026-05-28T00:00:00Z,v4_boundary
DJB-Q027,Christos Fourkis - Black Rat.mp3,"Mark Dekoda, Orkestrated - Ghost.mp3",Josh Wink - Higher State Of Consciousness (Adana Twins Remix Two).mp3,C,2026-05-28T00:00:00Z,v4_boundary
DJB-Q028,Rogue D - Burning.mp3,Matthias Tanzmann - Atacama.mp3,Spieltape - All Of You (Oliver Schories Remix).mp3,B,2026-05-28T00:00:00Z,v4_boundary
DJB-Q029,Super Flu - Really Really.mp3,Kellerkind - Sleepless Fox.mp3,John Digweed & Nick Muir vs. Carlo Lio - Infinity Road.mp3,C,2026-05-28T00:00:00Z,v4_boundary
DJB-Q030,Carlo Ruetz - Outlaws.mp3,Emanuele Vernarelli - Blue Pillar.mp3,"Djuma Soundsystem, NenaHalena - Rim Jhim.mp3",B,2026-05-28T00:00:00Z,v4_boundary
DJB-Q031,Carbon - Go Through That.mp3,Dhillon - Intro.mp3,Butane feat. Worldline - Rave Etiquette.mp3,C,2026-05-28T00:00:00Z,v4_boundary
DJB-Q032,VSY - Walk Deep.mp3,Carbon - Go Through That.mp3,Tosca - Pyjama Stereotype Mix #1.mp3,C,2026-05-28T00:00:00Z,v4_boundary
DJB-Q033,Daniel Rateuke - Flares.mp3,Fulltone - C'est Bon.mp3,Khen - Out Of A Dream.mp3,skip,2026-05-28T00:00:00Z,v4_boundary
DJB-Q034,Black Girl _ White Girl - Green Crack.mp3,Alex Dimou - Creep Inside.mp3,Dennis Cruz - Rock & Roll.mp3,C,2026-05-28T00:00:00Z,v4_boundary
DJB-Q035,Paulor - Spaceship (Vitalic Remix).mp3,"Michel De Hey, Rauwkost - Julienzzz.mp3",Adana Twins - Origo.mp3,C,2026-05-28T00:00:00Z,v4_boundary
DJB-Q036,Alex Breitling - Bring It Back.mp3,Doctor Dru - Wahah.mp3,Chus & Ceballos feat. Astrid Suryanto - All I Want (Oscar L Remix).mp3,C,2026-05-28T00:00:00Z,v4_boundary
DJB-Q037,Madben - Blow.mp3,Carbon - Go Through That.mp3,Butane feat. Worldline - Rave Etiquette.mp3,C,2026-05-28T00:00:00Z,v4_boundary
DJB-Q038,Timo Maas - Brummer.mp3,Nhii - Meyha.mp3,"Mathias Rehfeldt, Dark Matter Projekt - Zeit (Niconé & Dirty Doering Remix).mp3",C,2026-05-28T00:00:00Z,v4_boundary
DJB-Q039,Dance Spirit - Speaker Freaker.mp3,Massano - The Feeling.mp3,"Peer Kusiv, Lenny - Toxic Temptation (Undercatt Remix).mp3",C,2026-05-28T00:00:00Z,v4_boundary
DJB-Q040,Timo Maas - The Religion of Love (Kotelett Bonus Mix) (Kotelett Bonus Mix) myfreemp3.vip .mp3,Timo Maas - The Religion of Love (Kotelett Unconditional Love Version) (Kotelett Unconditional Love Version) myfreemp3.vip .mp3,Denis A - Space Truck.mp3,B,2026-05-28T00:00:00Z,v4_boundary
