question_id,anchor,candidate_b,candidate_c,answer,answered_at
Q015,"Peer Kusiv, Lenny - Toxic Temptation (Undercatt Remix).mp3",Innellea - Internal Shifts.mp3,Fulltone - C'est Bon.mp3,B,2026-09-11T15:44:45.799Z
Q016,Dosem - All Locations.mp3,Christopher Kah - Thrust.mp3,Daniel Rateuke - Flares.mp3,B,2026-09-11T15:44:59.511Z
Q017,Rogue D - Burning.mp3,"Francisco Allendes, Felipe Venegas - Llovizna (Luciano Remix).mp3",Benno Blome - Abotha (Mihai Popoviciu Remix).mp3,C,2026-09-11T15:45:18.375Z
Q018,"BOg, GHEIST, Fideles - Venere (Fideles Remix).mp3",Hanna Haïs feat. Aminata Kouyaté - Soumalé.mp3,Bait & Switch - You Are In Trouble.mp3,B,2026-09-11T15:47:41.787Z
Q019,"Gorge, Markus Homm - El Fluvio de la Vida.mp3",Tibi Dabo - Her Moon.mp3,Fur Coat - Ethereal.mp3,C,2026-09-11T15:48:08.019Z
Q020,Matthias Schuell - Mephisto.mp3,"Djuma Soundsystem, NenaHalena - Rim Jhim.mp3",Slow Nomaden - Eternal Blue Sky.mp3,B,2026-09-11T15:48:54.140Z
Q021,Alex Dimou - Creep Inside.mp3,Pryda - The Beginning.mp3,John Digweed & Nick Muir vs. Carlo Lio - Infinity Road.mp3,C,2026-09-11T15:49:21.555Z
Q022,Lopezhouse - Motorik (Original Mix).mp3,"Burger, Voigt - Wandaus Klang.mp3",VSY - Walk Deep.mp3,C,2026-09-11T15:49:37.851Z
Q023,"Guy Mantzur, Khen - Where Is Home.mp3",Anton Dhouran - Osmekha (Ruede Hagelstein Remix).mp3,Maceo Plex - Mutant Magic.mp3,C,2026-09-11T15:50:32.687Z
Q024,"El Mundo, Zazou - House Of Lights.mp3",Super Flu - Really Really.mp3,Monkey Safari - Chari Chari.mp3,B,2026-09-11T15:50:51.863Z
Q025,Mind Against - Walking Away.mp3,Tunnelvisions - M.G.M.M..mp3,Timo Maas - The Religion of Love (Kotelett Bonus Mix) (Kotelett Bonus Mix) myfreemp3.vip .mp3,C,2026-09-11T15:51:09.247Z
Q026,Gorgon City - Roped In.mp3,Marsh - 1992 (Extended Mix).mp3,DJ Angelo - Babel.mp3,B,2026-09-11T15:51:34.127Z
Q027,"Pete Tong, John Monkman - Aquarius.mp3",Amy Root - June (Mees Salomé Remix).mp3,Alex Dimou - Creep Inside.mp3,C,2026-09-11T15:52:06.679Z
Q028,Niki4 - Ederlezi.mp3,"Davide Squillace, Basti Grub, Julian Smith - Let's Go Deep.mp3",Saints and Sinners - Pushin too hard (The Official 2003 Remix).mp3,C,2026-09-11T15:52:35.007Z
Q029,El Mundo & Satori - Spread The Word (Mihalis Safras Edit).mp3,Anton Dhouran - Osmekha (Ruede Hagelstein Remix).mp3,Timboletti - Dhunche.mp3,C,2026-09-11T15:53:08.247Z
Q030,Denis A - Space Truck.mp3,Timo Maas - The Religion of Love (Kotelett Unconditional Love Version) (Kotelett Unconditional Love Version) myfreemp3.vip .mp3,Belocca - Mother Earth.mp3,B,2026-09-11T15:53:26.528Z
Q031,Hanna Haïs feat. Aminata Kouyaté - Soumalé.mp3,Dosem - All Locations.mp3,Johannes Volk - Extra Dimensions.mp3,B,2026-09-11T15:54:01.791Z
Q032,Monkey Safari - Tollo.mp3,Tapan feat. Radwan Ghazi Moumneh - In My Heart feat. Radwan Ghazi Moumneh (Khidja Remix).mp3,Guy Gerber - Timing.mp3,C,2026-09-11T15:54:42.928Z
Q033,Chus & Ceballos feat. Astrid Suryanto - All I Want (Oscar L Remix).mp3,Guy J - Mind Of.mp3,Gardens of God - Zero One.mp3,C,2026-09-11T16:24:33.168Z
Q034,Dance Spirit - Speaker Freaker.mp3,"Noir, Olivier Giacomotto feat. Hendrik Burkhard - Blackrays (Kiko & Citizen Kain Remix).mp3",Doctor Dru - Soharab.mp3,C,2026-09-11T16:24:47.256Z
Q035,"Peshay, Vsy - Universalis.mp3",Yotto - Nova (Extended Mix).mp3,Oliver Lieb - Oasis 2020 (Frankyeffe Remix).mp3,B,2026-09-11T16:25:04.129Z
Q036,"NenaHalena, Akil - La Ka Rubà (Jonas Rathsman Remix).mp3",Andhim - Taxi.mp3,Matthias Tanzmann - Atacama.mp3,C,2026-09-11T16:28:29.617Z
Q037,Monkey Safari - Tollo.mp3,Cirez D - The Raid.mp3,Lopezhouse - Dusseldorf.mp3,C,2026-09-11T16:28:50.524Z
Q038,Pryda - The Beginning.mp3,Depeche Mode - Enjoy the silence (Brigado Crew Unofficial Remix).mp3,Chus & Ceballos feat. Astrid Suryanto - All I Want (Oscar L Remix).mp3,C,2026-09-11T16:29:08.952Z
Q039,John Digweed & Nick Muir vs. Ian O'Donovan - Dawnbreaker.mp3,Hanna Haïs feat. Aminata Kouyaté - Soumalé.mp3,Doctor Dru - Wahah.mp3,C,2026-09-11T16:29:31.896Z
Q040,VSY - Walk Deep.mp3,Mosley Jr - Sun_Set.mp3,Paperclip People - Throw (Slam's RTM Remix).mp3,B,2026-09-11T16:29:42.584Z
Q041,Madben - Blow.mp3,Darren Emerson - Hot dog (Florian Meindl Remix).mp3,Oliver Lieb - Red Phosphorous (Reduced Mix).mp3,B,2026-09-11T16:30:14.213Z
Q042,Fairmont - Scopulus.mp3,Tibi Dabo - Disbelieve my-free-mp3s.com .mp3,Sainte Vie - High Seas.mp3,C,2026-09-11T16:30:39.344Z
Q043,Sall - Get Ready.mp3,Alex Dimou feat. Black Soda - This Time.mp3,"Davide Squillace, Basti Grub, Julian Smith - Let's Go Deep.mp3",skip,2026-09-11T16:31:02.041Z
Q044,Steve Parry - Flippant.mp3,Agoria feat. STS - Call Of The Wild (Glowal Wild Remix).mp3,Slow Nomaden - Eternal Blue Sky.mp3,B,2026-09-11T16:31:28.560Z
Q045,Elisa Bee - Absorption.mp3,Hunter Game - Silver (Silence Live Mix).mp3,Doctor Dru - Soharab.mp3,B,2026-09-11T16:40:18.249Z
Q046,"Alexander Alar, Sonita - Tokyo.mp3","Dandara, Klik & Frik - Caracal (Klik & Frik Remix).mp3",VSY - The Void.mp3,skip,2026-09-11T16:40:35.121Z
Q047,Yulia Niko - Sound Factory.mp3,Malandra Jr. - Magnetik.mp3,Tosca - Pyjama Stereotype Mix #1.mp3,C,2026-09-11T16:40:54.276Z
Q048,Pig&Dan (Destination Unknown) - Positive Vibrations.mp3,Elisa Bee - Absorption.mp3,"Dandara, Klik & Frik - Caracal (Klik & Frik Remix).mp3",B,2026-09-11T16:43:29.072Z
Q049,Nicolas Jaar - Time for Us.mp3,Josh Wink - Stay Out All Night (Radio Slave Remix).mp3,"Housekeeping, Andfolk feat. Deanna Leigh - Faces (Extended Mix).mp3",C,2026-09-11T16:43:47.328Z
Q050,Tunnelvisions - M.G.M.M..mp3,VSY - Tick Tock.mp3,Mr Raoul K - O Mera Dil (Auztin Pauers & Ezrael Remix).mp3,C,2026-09-11T16:44:18.608Z
Q051,John Digweed & Nick Muir vs. Carlo Lio - Infinity Road.mp3,"Carlo Lio, Harvey McKay - Droid Decay.mp3","Djuma Soundsystem, NenaHalena - Rim Jhim.mp3",B,2026-09-11T16:44:33.569Z
Q052,Carbon - Go Through That.mp3,Dhillon - Intro.mp3,Redsea (IT) - Around My Head (The Drifter Remix).mp3,B,2026-09-11T16:47:12.277Z
Q053,Maksim Dark - Energize.mp3,Lopezhouse - Motorik (Original Mix).mp3,"Djuma Soundsystem, NenaHalena - Rim Jhim.mp3",B,2026-09-11T16:47:21.181Z
Q054,Rex the Dog - Vortex (Krystal Klear Remix).mp3,"Matador, ARTBAT - Visitor.mp3",Innellea - Prospective Vision.mp3,B,2026-09-11T16:47:54.688Z
Q055,VSY - Find Me.mp3,"Matador, ARTBAT - Visitor.mp3",Hunter Game - Silver (Silence Live Mix).mp3,C,2026-09-11T16:48:03.764Z
Q056,Gorgon City - Roped In.mp3,Darren Emerson - Hot dog (Florian Meindl Remix).mp3,Carbon - Go Through That.mp3,C,2026-09-11T16:48:33.337Z
Q057,Khen - Out Of A Dream.mp3,Josh Wink - Higher State Of Consciousness (Adana Twins Remix Two).mp3,"BOg, GHEIST, Fideles - Venere (Fideles Remix).mp3",C,2026-09-11T16:48:45.245Z
Q058,Robert Babicz - Shifting Reality.mp3,Alex Dimou - What Keeps You There (Cevin Fisher Remix).mp3,Timo Maas - The Religion of Love (Kotelett Bonus Mix) (Kotelett Bonus Mix) myfreemp3.vip .mp3,C,2026-09-11T16:49:02.957Z
Q059,Black Girl _ White Girl - Green Crack.mp3,Christopher Kah - Thrust.mp3,Monkey Safari - Chari Chari.mp3,B,2026-09-11T16:50:54.956Z
Q060,Christos Fourkis - Black Rat.mp3,"Sandy Rivera, Rae - Hide U (Chicola Extended Remix).wav",Oliver Lieb - Oasis 2020 (Frankyeffe Remix).mp3,B,2026-09-11T16:51:07.377Z
